eval,pop_size,avg_fitness,fitness_variance,mutation_amount,recombination_amount
5340,100,1.709704832568267E-8,1.9631040732718517E-14,10,10
5360,100,1.709704830964739E-8,1.9631040733272294E-14,10,10
5380,100,1.7097046884916435E-8,1.963104078248145E-14,10,10
5400,100,1.717173585110202E-8,1.9629018802894883E-14,10,10
5420,100,1.7166461383661467E-8,1.962919894408008E-14,10,10
5440,100,3.425076195758885E-7,1.05930336181582E-11,10,10
5460,100,3.425076195758877E-7,1.0593033618158202E-11,10,10
5480,100,3.4250762427605267E-7,1.0593033614905942E-11,10,10
5500,100,3.425029825230808E-7,1.0593036824497363E-11,10,10
5520,100,3.425295923819715E-7,1.0593018483273498E-11,10,10
5540,100,3.4252959144134486E-7,1.0593018483924368E-11,10,10
5560,100,3.425029797224717E-7,1.0593036826435154E-11,10,10
5580,100,3.4250293010034364E-7,1.0593036860769773E-11,10,10
5600,100,3.288912287477947E-7,1.0583552997751262E-11,10,10
5620,100,3.288912287475563E-7,1.0583552997751406E-11,10,10
5640,100,3.2889122874738337E-7,1.0583552997751568E-11,10,10
5660,100,3.288914158250131E-7,1.0583552873455659E-11,10,10
5680,100,3.2889141584742976E-7,1.0583552873440715E-11,10,10
5700,100,3.2889317719207866E-7,1.0583551703465908E-11,10,10
5720,100,3.288932493918405E-7,1.058355165549469E-11,10,10
5740,100,3.2889328615824903E-7,1.0583551631066092E-11,10,10
5760,100,3.303967725513719E-7,1.0582782495733188E-11,10,10
5780,100,3.3039676915555535E-7,1.05827824979998E-11,10,10
5800,100,3.3039508936948913E-7,1.058278361888791E-11,10,10
5820,100,3.3039508935737714E-7,1.0582783618896082E-11,10,10
5840,100,3.3039508596112845E-7,1.0582783621162871E-11,10,10
5860,100,3.303967373676011E-7,1.0582782519042376E-11,10,10
5880,100,3.3039673741784804E-7,1.05827825190089E-11,10,10
5900,100,3.3039673742136444E-7,1.0582782519006527E-11,10,10
5920,100,3.3039688332440093E-7,1.058278242162304E-11,10,10
5940,100,3.2693396863251706E-7,1.0583870404317463E-11,10,10
5960,100,3.269339686325162E-7,1.0583870404317463E-11,10,10
5980,100,3.269339686971878E-7,1.0583870404274799E-11,10,10
6000,100,3.2542220590436825E-7,1.0584634449110768E-11,10,10
6020,100,3.254221940465656E-7,1.0584634456906396E-11,10,10
6040,100,3.254221940465821E-7,1.0584634456906374E-11,10,10
6060,100,3.254221923394538E-7,1.0584634458028672E-11,10,10
6080,100,3.254221889682483E-7,1.0584634460244978E-11,10,10
6100,100,3.2542218895681155E-7,1.0584634460252478E-11,10,10
6120,100,3.2542204303206915E-7,1.0584634556183898E-11,10,10
6140,100,3.254220409205907E-7,1.0584634557572067E-11,10,10
6160,100,3.2542204092301614E-7,1.0584634557570404E-11,10,10
6180,100,3.254220382152375E-7,1.058463455935057E-11,10,10
6200,100,3.2542117610173283E-7,1.058463512604396E-11,10,10
6220,100,3.254211760517814E-7,1.0584635126076713E-11,10,10
6240,100,3.2542200539188597E-7,1.0584634580894133E-11,10,10
6260,100,3.254220053919815E-7,1.0584634580894043E-11,10,10
6280,100,3.254178371818397E-7,1.0584637319377433E-11,10,10
6300,100,3.254178371818291E-7,1.0584637319377443E-11,10,10
6320,100,3.2541783716944555E-7,1.058463731938559E-11,10,10
